Manufacturer,Model Name,CPU,RAM,GPU,Price
Lenovo,ThinkPad E480,Intel Core i5 8250U 1.6GHz,8GB,AMD Radeon RX 550,9923649.84
Lenovo,Legion Y520-15IKBN,Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050M,7727148
Toshiba,Satellite Pro,Intel Core i5 6200U 2.3GHz,4GB,Intel HD Graphics 520,5352984
HP,255 G6,AMD A6-Series 9220 2.5GHz,4GB,AMD Radeon R4 Graphics,3281148
Asus,ZenBook UX430UA,Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,9772308
HP,EliteBook Folio,Intel Core M 6Y75 1.2GHz,8GB,Intel HD Graphics 515,17908488
Asus,X541NA (N3350/4GB/1TB/FHD/W10),Intel Celeron Dual Core N3350 1.1GHz,4GB,Intel HD Graphics 500,3058848
MSI,GE72MVR 7RG,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1070,18041868
Acer,Aspire A315-51,Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,3974724
Dell,Inspiron 5577,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1050,11108419.92
Dell,Inspiron 7567,Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050,7993908
Lenovo,V110-15IKB (i5-7200U/4GB/128GB/W10),Intel Core i5 7200U 2.5GHz,4GB,Intel HD Graphics 620,4428216
MSI,GE73VR 7RE,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1060,16805880
HP,EliteBook 840,Intel Core i5 7500U 2.7GHz,4GB,Intel HD Graphics 620,9621144
HP,15-BS103nv (i5-8250U/6GB/256GB/Radeon,Intel Core i5 8250U 1.6GHz,6GB,AMD Radeon 520,5504148
Lenovo,Yoga 520-14IKB,Intel Core i3 7100U 2.4GHz,4GB,Intel HD Graphics 620,5593068
Asus,ZenBook Flip,Intel Core i5 8250U 1.6GHz,8GB,Intel HD Graphics 620,11692980
Dell,Inspiron 5579,Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,9327708
Toshiba,Satellite Pro,Intel Core i3 6006U 2.2GHz,4GB,Intel HD Graphics 520,3974724
Asus,X555BP-XX180T (A9-9420/4GB/1TB/Radeon,AMD A9-Series 9420 3GHz,4GB,AMD Radeon R5 M420,3583476
Acer,Aspire A517-51G,Intel Core i5 8250U 1.6GHz,4GB,Nvidia GeForce MX150,7158060
Dell,Inspiron 3576,Intel Core i5 8250U 1.6GHz,8GB,AMD Radeon 520,6473376
Lenovo,Legion Y520-15IKBN,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1050 Ti,9594468
Acer,Aspire A315-31,Intel Celeron Dual Core N3350 1.1GHz,4GB,Intel HD Graphics 500,3094416
MSI,GE63VR 7RE,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1060,15996708
Acer,Aspire 3,Intel Pentium Quad Core N4200 1.1GHz,4GB,Intel HD Graphics 505,3232330.92
Dell,Inspiron 5577,Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050,9429877.08
Acer,Aspire A517-51G,Intel Core i5 8250U 1.6GHz,8GB,Nvidia GeForce MX150,7593768
HP,ProBook 430,Intel Core i5 8250U 1.6GHz,4GB,Intel UHD Graphics 620,6704568
Huawei,MateBook X,Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,11995308
HP,17-bs001nv (i5-7200U/6GB/2TB/Radeon,Intel Core i5 7200U 2.5GHz,6GB,AMD Radeon 520,6215508
Lenovo,IdeaPad 320-15AST,AMD A6-Series 9220 2.9GHz,4GB,AMD Radeon R4 Graphics,2747628
Toshiba,Satellite Pro,Intel Core i3 7100U 2.4GHz,4GB,Intel HD Graphics 620,4348188
HP,ProBook 470,Intel Core i5 8250U 1.6GHz,8GB,Nvidia GeForce 930MX,8207316
Dell,Inspiron 3567,Intel Core i3 7100U 2.4GHz,8GB,Intel HD Graphics 620,4081428
Acer,Aspire A315-51,Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,3992508
MSI,GT80S 6QF-074US,Intel Core i7 6920HQ 2.9GHz,32GB,Nvidia GTX 980 SLI,24888708
Lenovo,V310-15IKB (i5-7200U/8GB/1TB,Intel Core i5 7200U 2.5GHz,8GB,AMD R17M-M1-70,7229196
HP,Spectre x360,Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,13329108
Dell,Inspiron 5570,Intel Core i7 8550U 1.8GHz,16GB,AMD Radeon 530,9327708
Dell,XPS 13,Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,12439908
Lenovo,Yoga 920-13IKB,Intel Core i7 8550U 1.8GHz,16GB,Intel UHD Graphics 620,16441308
Toshiba,Satellite Pro,Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,7051356
Xiaomi,Mi Notebook,Intel Core i5 8250U 1.6GHz,8GB,Nvidia GeForce MX150,10661508
Dell,Inspiron 7773,Intel Core i7 8550U 1.8GHz,16GB,Nvidia GeForce 150MX,13773708
Dell,XPS 15,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1050,21314124
Lenovo,Legion Y520-15IKBN,Intel Core i5 7300HQ 2.5GHz,8GB,Nvidia GeForce GTX 1050,6926868
Acer,Swift 7,Intel Core i5 7Y54 1.2GHz,8GB,Intel HD Graphics 615,8794188
Dell,Inspiron 5770,Intel Core i7 8550U 1.8GHz,8GB,AMD Radeon 530,9647820
Lenovo,Thinkpad Yoga,Intel Core i7 7500U 2.7GHz,16GB,Intel HD Graphics 620,25111008
Vero,K147 (N3350/4GB/32GB/FHD/W10),Intel Celeron Dual Core N3350 1.1GHz,4GB,Intel HD Graphics 500,2311920
Xiaomi,Mi Notebook,Intel Core i5 7200U 2.5GHz,8GB,Nvidia GeForce MX150,8891110.8
Lenovo,IdeaPad 320-17IKBR,Intel Core i5 8250U 1.6GHz,8GB,Nvidia GeForce MX150,6206616
Dell,Inspiron 5379,Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,7460388
HP,ProBook 470,Intel Core i5 8250U 1.6GHz,8GB,Nvidia GeForce 930MX,8127288
Razer,Blade Pro,Intel Core i7 7820HK 2.9GHz,32GB,Nvidia GeForce GTX 1080,54232308
HP,ProBook 430,Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,8527428
HP,Omen 17-W295,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1050,12262068
HP,Probook 470,Intel Core i7 8550U 1.8GHz,8GB,Nvidia GeForce 930MX,9292140
Dell,Inspiron 7577,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1060,16405740
Lenovo,V110-15ISK (i5-6200U/4GB/128GB/W10),Intel Core i5 6200U 2.3GHz,4GB,Intel HD Graphics 520,4383756
Acer,Aspire E5-576G,Intel Core i7 7500U 2.7GHz,8GB,Nvidia GeForce 940MX,6597864
Lenovo,Legion Y720-15IKB,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1060,15552108
Dell,Precision 7520,Intel Xeon E3-1505M V6 3GHz,16GB,Nvidia Quadro M1200,27165060
Lenovo,Legion Y520-15IKBN,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1060,12431016
Dell,Inspiron 3567,Intel Core i3 7100U 2.4GHz,6GB,Intel HD Graphics 620,3903588
Dell,XPS 13,Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,17330508
Dell,XPS 13,Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,12884508
Lenovo,IdeaPad 320-15IKBN,Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,5308524
Acer,Aspire 7,Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050,6926868
Asus,ROG GL703VD-GC028T,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1050,12511044
HP,15-bs018nq (i3-6006U/4GB/500GB/FHD/No,Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,3103308
Lenovo,IdeaPad 320-15IKBN,Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,4881708
Huawei,MateBook X,Intel Core i7 7500U 2.7GHz,8GB,Intel HD Graphics 620,13329108
Dell,Inspiron 5370,Intel Core i7 8550U 1.8GHz,8GB,AMD Radeon 530,8286276.96
Lenovo,IdeaPad 320-17IKB,Intel Core i5 7200U 2.5GHz,8GB,Nvidia GeForce GTX 940MX,5237388
HP,Probook 440,Intel Core i7 8550U 1.8GHz,8GB,Nvidia GeForce 930MX,9167652
Dell,Latitude 5490,Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,10216908
Dell,Inspiron 5379,Intel Core i7 8550U 1.8GHz,16GB,Intel UHD Graphics 620,11372868
Dell,Inspiron 3576,Intel Core i5 8250U 1.6GHz,8GB,AMD Radeon 520,6022996.2
Lenovo,Yoga 520-14IKB,Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,7993908
Toshiba,Portege Z30-C-16L,Intel Core i7 6500U 2.5GHz,8GB,Intel HD Graphics 520,12119796
HP,ProBook 450,Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,7060248
Dell,Alienware 17,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1060,21841775.28
Acer,Aspire E5-576G,Intel Core i7 7500U 2.7GHz,8GB,Nvidia GeForce 940MX,7398144
Dell,Inspiron 5567,Intel Core i7 7500U 2.7GHz,16GB,AMD Radeon R7 M445,7638316.92
Asus,Vivobook X541UV-DM1217T,Intel Core i5 7200U 2.5GHz,8GB,Nvidia GeForce 920MX,6837948
Asus,K756UX-T4340T (i5-7200U/8GB/500GB,Intel Core i5 7200U 2.5GHz,8GB,Nvidia GeForce GTX 950M,7922772
HP,ZBook 15u,Intel Core i7 7500U 2.7GHz,8GB,AMD FirePro W4190M,11283948
Asus,Pro P2540UA-XO0198T,Intel Core i3 7100U 2.4GHz,4GB,Intel HD Graphics 620,3547819.08
HP,15-rb013nv (E2-9000e/4GB/500GB/W10),AMD E-Series 9000e 1.5GHz,4GB,AMD Radeon R2,2934360
Lenovo,Legion Y720-15IKB,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1060,13329108
Dell,Vostro 5468,Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,7638228
Acer,Aspire R7,Intel Core i5 6200U 2.3GHz,8GB,Intel HD Graphics 520,6126588
Dell,Inspiron 5567,Intel Core i7 7500U 2.7GHz,16GB,AMD Radeon R7 M445,7993908
Acer,Aspire A315-51,Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,3467880
Asus,X555QG-DM242T (A10-9620P/4GB/1TB,AMD A10-Series A10-9620P 2.5GHz,4GB,AMD Radeon R5 M430,5112900
Asus,ROG G703VI-E5062T,Intel Core i7 7820HK 2.9GHz,32GB,Nvidia GeForce GTX 1080,34589880
Acer,Nitro AN515-51,Intel Core i5 7300HQ 2.5GHz,8GB,Nvidia GeForce GTX 1050,7522632
Lenovo,IdeaPad 320-15ISK,Intel Core i3 6006U 2GHz,8GB,Intel HD Graphics 520,5237388
Asus,VivoBook Pro,Intel Core i7 8550U 1.8GHz,8GB,Nvidia GeForce 150MX,10181340
Asus,F756UX-T4201D (i7-7500U/8GB/128GB,Intel Core i7 7500U 2.7GHz,8GB,Nvidia GeForce GTX 950M,7904988
Dell,Inspiron 5577,Intel Core i5 7300HQ 2.5GHz,8GB,Nvidia GeForce GTX 1050,7816068
Lenovo,Yoga 910-13IKB,Intel Core i7 7500U 2.7GHz,8GB,Intel HD Graphics 620,9594468
Dell,Inspiron 5570,Intel Core i7 8550U 1.8GHz,8GB,AMD Radeon 530,8758620
